sentiment,text
negative,"I miss @almiraisaiden@paulinamaxine, @pinkiecheeks and @kaylaatthedisco...  Love you guys!"
negative,Just woke up and showered....... Class starts today!! Bummmmeeeerrrrrrrr! 
negative,@goaskalicia  i know the feeling. here's hoping you win the lottery!
negative,Sooooo not feeling good at all 
negative,"I just slept in the sun, haha why wont my legs get a nice tint.. "
negative,i don't want to have a vacation with few days of fun! that's just not fair 
negative,"I'm watching scrubs waiting on Tarka coming over, my head's so sore "
negative,"i failed maths.  but its okay, who needs maths? hmph."
negative,I have a headache 
negative,goodmorning. slept in a bit. won't have to get up this early much longer! schoooooo time 
negative,time for work. this morning just observing in the primary room i'll be interning in this fall. observing makes me feel useless 
negative,@asharif01 i know... i will have to do that soon. 
negative,Something is on my mind &amp; now I can't sleep...actually several somethings. So much for 7:30am teleconf call w/ NYC team. Need off switch 
negative,"Oh damn, T.V. is married "
negative,WOW- General Motors HAS FILED 4  bankruptcy! lordy lordy 
negative,"I miss @almiraisaiden, @paulinamaxine, @pinkiecheeks and @kaylaaththedisco...  I love you guys!"
negative,@XLoubyX Can you do that??!! My dad is bare stingy too I shouldhave watched it last night 
negative,...startin 2 feel some type of way 
negative,@CinnamonCloud I'm feeling a bit slow today as well!! to hot to do any thing but sit and melt... 
negative,@no381 YOUR NEW ICON IS BORING 
negative,Holla for waiting at the bus stop in the rain! ...not. Ugh. 
negative,Fact sheet about JPASE (http://bit.ly/OGds1  doesn't have a link *to* JPASE (http://www.cffc.navy.mil/jpase/) on it. 
negative,"@Suja09 ah, not enough sleep  i love sleep but i can't get enough!"
negative,@Serem oooo seaside!  Was ace turning up to work this morning to discover i'm on lates  booo
negative,@cupcakepink23 I gotta schedule one too! I hate doctors 
negative,Back at work today 
negative,is bored at home. Holidays are such a drag! 
negative,i guess this is it 
negative,goodmorning twitters...im at dmv and the line is round the building and they dont open until 9  
negative,"Imagine if people didn't buy gas for an entire week? I wish the American people could do such a thing, but we won't, me included. "
negative,such a boring day  nothing to do ... !!!
negative,@funnydubby Aww you poor thing  i hope you will get better soon!
negative,Returning to rochester 
negative,At Work..... 
negative,I've had enough... feel like a rubbish mum and I've had enough 
negative,Watching the sunshine through my office window 
negative,Jet lag had me falling asleep at 9 last night  now up at 8.
negative,Ran out of nail polish remover after doing one hand.   
negative,Glad the weekend was nice now it's gloomy &amp; rainy 
negative,"@fring okay, let me rephrase that: finally a new samsung version, bec. mine is from 10/08, and that's the newest one. "
negative,Big Day appears to have floped. 
negative,Holy Hell! The French Airbus Crashed 
negative,@gobansaor It's all the same SMTP - smtp.o2.ie  Need to use it via outlook as all my templates etc on it. Going to take some time out now 
negative,did pollen production go into overdrive today? I am suffering 
negative,I am not sure what is up with myspace this morning but it won't load ok laptop  so will try to upload pix tonight
negative,Remind me never to fly into JFK again. Been off plane 20 min &amp; baggage carousel still isn't moving.  
negative,I reallyyyy need to get a second job. Brrrroookkkkeeee 
negative,G'mornin Tworld!!! On my way to work. Ugh im so tired 
negative,"@kgracieg poor Lost heroes, they never managed to get to the wonderful city that is Paris  hahaha"
negative,"Santigold's Unstoppable is stuck in my head. I am not used to calling Santogold, Santigold. I'm still taking down notes. "
negative,@dreamergirl17 no  wayyy to much hw I gotta finish first. And it's way cold out!
negative,"Fuck. Sometimes, i hate my height! Hit my head in the bus again! Ow! "
negative,isPlayer Has Died! Sorry 
negative,"@Almienova it was on so late tho, even I couldnt stay up  Yeah, I'll look about for a link for u, in the meantime tryy and watch!"
negative,doesn't wanna love someone who is in love with someone else 
negative,lots of errands to do today!!! .....ugh 
negative,@Savvyhamster Alas no not buying just looking for a pond in a field somewhere to pop them  they are proper frogs now &amp; soooo cute
negative,@MaggieMags they're canceling my surgery. 
negative,don't want to study today 
negative,feeli like crap!!!!!!!!  just wanna go home
negative,first official day with my @tylerhwilliams all gone! it'll be a sad monday indeed  k
negative,is on his way to work 
negative,ok. is impossible in 6 moves. you've beat me there brain quiz thing   http://twitpic.com/6ebt0
negative,I have &quot;the horn&quot; on sooooo bad today!! 
negative,"@goeast yes, unfortunately some resident farangs are eminently hateable, with good reason  http://tinyurl.com/thaiblog"
negative,ummm please mr.sandman can you put me to sleep already? 
negative,"The worst thing about Monday mornings is having to boot Windows XP at work, after a weekend of OS/X and Linux goodness "
negative,Earrrr acchhhhheeee 
negative,Huh Monday.. Don't make me do it.. Don't make me work in a box all day 
negative,geography revision 
negative,is boredddd and very full  xx
negative,@tinkhanson it so tragic and sad. 
negative,I want ice cream. 
negative,"OMG!! It's damn HOT. How to work la, like this... A shower is no help at all....  #fb"
negative,Wanna see 'New Moon' now...have to wait 'til November...such a long time 
negative,"I'm so confused, what the shit... "
negative,@m1k3y I watched and I loved it and I didn't know it was canceled til @xutraa told me last week 
negative,"@SirMikeyB Eugh, I hate healthy eating! I want KFC "
negative,surprisingly awake for only 4 hours of sleep....rain and a monday morning what a yucky combo 
negative,"losing my private insurance today, I am trying really hard not to be angry about it, sometime life is just not fair "
negative,I feel so becok today. I don't know why but i pity @fallagain for entertaining my question the whole day. So sorrry ! 
negative,Drove myself to work this morning 
negative,"@zokathepuppy I'm running out of time, I'm never finding this AH mag issue "
negative,@eleanor_ellie Sorry I didn't reply!  I'll be busy for the whole of this week.  Trynna adapt to the sucky waitress job.
negative,in math class...this is going to be the longest 4 hours of my life mon wed fri 
negative,@Jonasbrothers all the tickets went wrong &amp; my mum spent 3 days solid trying to sort it all out. =( booked block B but was givern blk 1! 
negative,@abcd91 Ahhh...  What are you using to tweet from?
negative,"I dream he's still here, but I wake up to a world where he's farther than ever. "
negative,I'm off to the dentist...  
negative,"'the cause of this defect, for this effect defective comes by cause.'- confusing much!? Shakespeare giving me a headache "
negative,"Only history left to go, still trying to cram in crap about the CND and Polaris  not fun."
negative,"Awwww, Donna didnt get her art table at Otakon   i'll help her with an online store. Things should be fine"
negative,sitting in history bored 
negative,@Macala nice! I love running although I haven't done it in a year - got hurt training  Will start again after Internet Week craziness
negative,@leonise haha. that was a demand lang. para magreply sila. Brazil has mcfly phones na. 
negative,@shwaip chicago?!? I just left there... 
negative,@iissaa16 You're bad.  )
negative,@H2oNeku No party. Have not had coffee yet.  Very cranky.  need coffee now.
negative,My Shoulder KILLLLLLLLS 
negative,@stoopidgerl I'm so sorry    I'll be thinking of you XO
negative,R.I.P Kathleen Veronica Beard 1921-2000. 
negative,Blue skies but sadly the office is calling...   http://twitpic.com/6ebv0
negative,Back to school again  Booo!!!
negative,The Bumblebees hav come out! 
negative,i hate being ill 
negative,i want to go home now - to sit in the jardin &amp; have a nap - 3 1/2 hours to go 
negative,"Some days I wonder &quot;is this it?&quot;, does anyone else ever feel that way? Monday Blues Tash "
negative,Sooooo tired!! Monday came all to fast 
negative,@christian0386 do an easy one! im so bad these 
negative,my toes are cold. 
negative,Airplane crash 
negative,Urgh! I miss my friends like ALOT! Can;t wait for Thursday.  And David COME BACK to SINGAPORE.. 
negative,@funkymonkey1002  wish u could stay longer    see you soon tho baby &lt;3
negative,"@edd8990 it's actually pretty boring, and involves a lot of code, but i'm really bored and none of my housemates play mtg "
negative,"just realised i wrote speach instead of speech, awful spelling from an English grad, just awful!  need to spend time on dictionary.com"
negative,@hotpatooties KISSES FOR DP! x x  i've been trying to track down some Bobbi Brown Gel Eyeliner but no shops near me have it!  x x
negative,"losing my private insurance today, I am trying really hard not to be angry about it, sometimes life is just not fair "
negative,@justdewitt it's still better than going to work like the rest of us 
negative,Sigh why oh why 
negative,guess no then 
negative,its flippin morning already..  
negative,Almost time to leave!  But I'm not going home... 
negative,"@MelissaH27 Oh,this is so sad,we are so poor.. "
negative,had a fabulous weekend....now back to work!  Hope the air france plane somehow will be found okay...highly unlikely though 
negative,Had a BLAST this weekend...now back to our regularly scheduled program..  
negative,@ecaps1 yes i agree! i think they need to get it sorted 
negative,yesterday was a great race...finished 113 though...2 min away from perfect time and place  weather was super
negative,had a vivid dream last night that a passenger plane crashed in Grand Blanc and debris was falling in her front yard  What does THAT mean?
negative,@sharoda gr8 buds paper all done! I was bone tired after gym yesterday  slept like a log at 9pm!
negative,I'm at work 
negative,I don't like work  then again is anyone really surprised?
negative,wow. it's been a while since I've been online. sorry.. 
negative,are they together ? haha ouch  hahahahahaha
negative,forgot my lunch today... 
negative,I don't really feel good 
negative,brownout  oh third world
negative,@olipam I dont knw I am trying to fix it 
negative,I'm not sure i'll have the strenght for another insane week.  I really need to rest!
negative,oh my kid is crabby... 
negative,Very hungover 
negative,im sad... mom had an accident! worried about her.. 
negative,@agentsarah6 FUNNY Re: IE but unfortunately NO CHOICE at werk.  Oracle CRAP Server designed around it.  Won't work with 7   Or 8...
negative,I hope they don't ruin Bella &amp; Jacob's relationship. New Moon is my favourite 
negative,@purple oh you not going??? 
negative,Back to scool 
negative,Has a headache  and practice this morning at 8!! ugh so tired
negative,I don't know what's more frustrating. Sending about 400 comments over MySpace or sending about 200 Mails to Radio Stations. 
negative,@enerjikautis13 : please understand me 
negative,@aalaap Sad to hear that man 
negative,New dream theater album=good.  New dream theater album at agnes= 
negative,"ARAW NG MAKATI today~ sorry i forgot  happy birthday, my dear POB (place of birth). hehe. (party) http://plurk.com/p/xmucd"
negative,Not impressed I got a coldsaw 
negative,very hot on the montgomery canal. my laptop is behaving strangely 
negative,Always 15-20 mins late to work recently... I think I need to start getting up earlier 
negative,Booo I got a Coldsaw 
negative,"OH-EM-GEE, I just read that My Name Is Earl has been cancelled. I friggin' love that show. Double plus ungood! "
negative,"doesn't know whether to have a smoke or not 'cause her throat is fucked and she's coughing like fook. But, she really wants one. "
negative,why do numbers worry me so? 
negative,@notbianca I WILL WATCH YOU EAT. Problemo solved. I am so broke pohz. 
negative,FINALLY got me some new @babyspadez music...it took 2yrs!! @akadip dnt get no love from tha Full Deck crew like she used to  lol
negative,pizzaku cepatlah datang. im dying of starve here 
negative,@Outofluck182 im on my phone  i cant see it! :'(
negative,@carlcdotcom I see you have a case of procrastinitis as well. I have a chronic case here 
negative,Looks like today's topic of the day so far is #Bing... And of course the missing Air France plane 
negative,new race pro DLC is horrible. crappy american cars and claims of 3 tracks but two of them are just alt routes of one already in the game. 
negative,My Monday...NOT starting out too good.   HELPPPPPPPPP
negative,"@DanMerriweather C U WED!! u NEVER say hello on here  Loved Something for the weekend, talk about pot &amp; get drunk, thats the dan we love!!"
negative,The food simply sucks! 
negative,"@kathrynmurphy16 not my fault, sowwy "
negative,I am not feeling good this morning.  The cat is meowing in my face...better feed it an put the dogs out. Then shower and leave.
negative,@Luvs2laff I expect u have endured a bit of sulking then  Do have a day off or is it the grindstone today?
negative,"@ecomeungirasole hey love, sorry i can't, by msn web i take a lot of virus "
negative,I so don't want to go to work today  I need a long weekend.
negative,ugh.. i hate monday 
negative,oh god a plane just fell in brazil 
negative,"On a stupid course, wanna go home "
negative,@twin_1xtra  u lefted me out dishoned
negative,"@zoziekins it is icky  &amp; it makes me sad. DANNY, YOU STUPID HORNY BASTARD. ahem. dougie is forgiven because he is young and impressionable"
negative,drupal nice menu is still not working in IE    .....  anybody have any trick...??
negative,"One more day until vacation!  Said I wouldn't take my laptop, now looking like I'll have to !   http://twurl.nl/igci4t"
negative,I've been tweeting so less today 
negative,Science blows!I wanna go home 
negative,Up getting ready for staff meeting 
negative,stressfully  waiting for resolution on the modification that I paid a lawyer to handle in December 08 
negative,"doesn't want to go to work, i want to stay home and play halo 3 all day "
negative,@Becca Any chance you wanna stay home until Thursday? 
negative,"@wkdjellybaby sorry, never deleted ya, was tryinto clean list up of who ya followin, was next to ya name sorry chick   loves ya really xxx"
negative,isPlayer Has Died! Sorry 
negative,@tractorqueen Well at least he told you so you don't have to keep guessing. Right? Sucks though that they couldn't get there 
negative,A colleague deleted my entire home directory by mistake! And the replicated filesystem worked the other way round. All backups gone 
negative,going to my dorm today ... I dont wanna go 
negative,http://twitpic.com/6ebza - new moon-scene where edward leaves bella 
negative,I mishh my shtephhy! 
negative,@fluxy What's wrong? 
negative,Good morning. Well Im up.   ~Michael~
negative,TIME FOR SCHOOL I WANNA SKYPE BUT I HAVE SCHOOL! blah. 
negative,ugh if tommy had broken there i would have been able to see the end of this before work 
negative,Summer school at gweenbrier. Dont know my way aroundd 
negative,nobody miss puff 
negative,feeling sick again 
negative,@mollydotcom i think about it too... 
negative,haa.. i recieved last nyt... i m not getting it ..  i know i dint delete it.. donno where i saved it
negative,I still didn't be tto see new moon trailer 
negative,@SavvyAuntie That's horrible 
negative,"@hedgemint 216 people, how awful. "
negative,"@agentphoenix up to Nottingham countryside with Claud  Really missing her - so odd, when I heard the mail I said 'mail poppy' forgetting.."
negative,"Talk about not taking advantage of opponent's loss. Nadal looses yesterday, Federer fast approaching a defeat today. I hate it "
negative,back in the office staring wistfully out the window at the sunshine 
negative,Having problem with the TwitterDeck. 
negative,"@mattwagster do you know something? I no longer think you're borderline evil, i think you're fully fledged. @Shepy has taught u well "
negative,very upsetting airbus story  i am going to the airport today - wonder what the mood will be like - i really dislike flying -prayers to all
negative,chat chat chat. uhh.. tomorrow's another daaaaaaaaaaaaaaaaaaaaaaaaay! 
negative,@fionaaa_ o Jesus I can't move  it's tooooo hot 
negative,oh!  my brain hurt. 
negative,"depressing, pressuring, irritating day for me today... "
negative,The sounds of my mom puking make me want to puke. I feel so bad for her 
negative,@awaltzforanight  oh Hun! This is just awful but it's not common.
negative,yet another glorious day...except im pretty hungover 
negative,"@clogwog52 I'm going to miss reading you on the DB.  Have a wonderful time away, though. "
negative,@leenoree They're gross. Small lump surrounded by rash and they're super itchy! 
negative,"oh mi gordgoshie. so tired, should go to bed right now butttt legal essay tomorrow so maybe not... "
negative,"@bobbinrob Oh noes, poor darling. *tucks you into bed* Go eat a little and then sleep yes?  Sales FTL! *smishes and gives you a pony*"
negative,Has been up since 3:30 AM and cant sleep. 
negative,Weekend is over  Back to work....good thing I love my job. lol
negative,"@infernalcrazy I am annoyed thats tonight, I'm seeing Patrick Wolf "
negative,@pocarles Go and CNN and check the news about the airplane crash  Twitter is not quiet in France
negative,@GewoonLianne He does look a little sad doesn't he. He must be missing you. 
negative,a/c is leaking and destroying the ceiling in my kitchen.  not fun 
negative,Working again. Day 3 of 7. 
negative,@coffee_books That's alright. I'm not feeling the greatest today anyway. Been dying with an uber cold. 
negative,@Alice4life we are newer hear at same time  u go to school by school bus? cool 
negative,Got sum feedback on lit review: need 2 address 1 criterion i missd: so thats 2nites task: anothr late 1 planned 
negative,Tired that my hotmail search does not seem to work 
negative,miss all my friends  why we must be separated?
negative,I already want this week to be over  so tired of school!
negative,home sick today. My first sick day in years  ahhhchoo!
negative,@BonDean I wish coffee was my magic cure 
negative," really dont looks forward to exams, like."
negative,"Even tried to sign up for my own CommunityOne session about glassfish - but it is full  , "
negative,Right time for bed! Night tweeps. Back to work tomorrow 
negative,aww no  school again
negative,"Ugh, I'm so not used to waking up this early "
negative,"@alchemistreader Wow! I wanted a Nadal-Federer championship.  Still, Federer allez!"
negative,Back to work 
negative,@LukePliakis she just woke me up  miley needs to sleep later
negative,Lost my headphones so no listening to podcasts for me until I find them! 
negative,Off to cut the grass...wow hayfever and cutting grass...not like im rubbing my nose in it. 
negative,@Jovi_Jonas awww feel better love!  and me? well i'm gonna have a headache soon lol..i'm studying for my final literature exam..
negative,@TJxFrost i think one of those bad ass kids @ the party gave me there 24 hr virus i feel like crap 
negative,"says oh, it's raining again  http://plurk.com/p/xmv8u"
negative,I can't change my profile pic.. 
negative,Taking the dog to the vet today.... I think he has Lymes Disease. 
negative,I need an Espresso this morning. And the cafe in the lobby isn't open during the summer. What am I to do? 
negative,sadness for Brazil  ...the lost AirBus... 
negative,@ubudroi AF has apparently confirmed crash and 'little hope for survivors' 
negative,Six flags today! Only thing is it's raining! 
negative,My internet is so slow. Another boring night. I wanna go out. 
negative,"@neverleftla Hmm, I might try to make that. Do you have a link w/more info? Sorry ya won't be able to make it. "
negative,"Plans out of the window today after mini incident involving bucket with dodgy handle, several litres of water, carpet &amp; lamenate floor "
negative,I dont know how twitter works 
negative,"i am going to fry at work tonight, i hate the tunics in this weather, they hold to much heat!!!  "
negative,@cooperhawkes It's about  as likely as hitman being shown  vaporware
negative,@felmarie That was below the belt.  I really don't like the humor. 
negative,finnished homework goin 2 bed luv BEK i still feel sick in the tummy 
negative,"Bar review. Every station on Sirius is playing songs from undergrad days in btown. Ryan Adams, ben harper, John Mayer, jeffery gaines. "
negative,"Slept with the fan on high, tryna cool off my hot ass apartment, my face hurts now "
negative,"@VanceStudios I hear ya! Mondays should be banned, as should cubicle farms! I hope you have a window at least - I am in the basement "
negative,forgot to register for the town wide yard sale... now it's to late... 
negative,That's what she said.... 
negative,FRESHMAN! FRESHMAN! FRESHMAN! DO SOMETHING CRAZY! DO SOMETHING CRAZY! DO SOMETHING CRAZY!-Asher Roth:&gt;)) freshman year starts tomorrow 
negative,Its a cracking day and i am stuck in the house not well 
negative,"http://news.bbc.co.uk/1/hi/world/americas/8076848.stm BBC: French plane lost over Atlantic, fear the worst.  Terrible"
negative,@cursedbyevil  give him a hug from me
negative,just had lunch now best get back to work 
negative,getting ready for ortho + plus school. hate Mondays. 
negative,Work today. 
negative,starting to feel sick again... Uhoh 
negative,itss coooold  i want cuddless
negative,@dippyjax I wish It was a Bank Holiday 
negative,I'm sad Jay Leno's not gonna be on  Atleast Conan O'Brien is coming back YaY
negative,I think baby is now true breech (not transverse anymore). Amazing discomfort and no sleep. 
negative,"@MODWife...oh dear, problems with web developers again "
negative,@MsNaomie ask him if he still luvs me 
negative,Sprint sucks...I have been away from Twitter all weekend.  
negative,@Outofluck182 i know.   and prolly around 4ish today. What time are you gettin your hair did?
negative,@Rooftrouser You said you went to the beach- I thought that's what people did at the beach. I wouldn't know 
negative,@sofisticat Hey - I saw you don't have your inspiration today 
negative,"I need to move somewhere nice, it's still cold here in June "
negative,"on 1 July, Adobe will raise GBP prices of CS4 products by up to 10%. (via @danoliver) they truly ain't listening  http://tr.im/adobe #fb"
negative,@DIDDY201 and devon i do miss you  and u didnt call me lastnight!i sat up watchin movies until like 1:30am. all alone  yep thats my life
negative,"@Ky_Kernel In my first golf outing in a year, I shot a 44 in 9 yesterday.....at Rough River. "
negative,@faultlines Why am I mean?  Changing your username was the best decision ever!  and a good one at that. Fck the hatersss hahaha.
negative,isPlayer Has Died! Sorry 
negative,back in school again tomorrow for the continuation of our enrollment!!!!! 
negative,My exam is around the corner...i`m tension..i go on twitter to release the tensions.... 
negative,my hero is still sick. i miss him. 
negative,Cant even concentrate... 
negative,"@jeankai hey, it's at CNN now.  sad... "
negative,@liencam no idea... 
negative,Thoughts and prayers for Air France friends and family http://www.businessweek.com/ap/financialnews/D98HS5M00.htm.  No emergency call 
negative,"I'm sorry but the New Moon trailer is so crap. They're all really bad actors IMO  it just sounds so dead compared to the books, for me..."
negative,"Got the day of work,, Yes!! Have to go back tomorrow though "
negative,"Ahhh algebra, english honors, and biology finals today "
negative,@scarlettjen prognosis from @breakingnewson: not good 
negative,@Chilosa09 I didn't. Kiddo was not letting me watch.  gonna check it OT online before I head off to th temp job
negative,"waiting in line for breakfas...a very, very long line "
negative,@jimjonescapo no news yet  still missing
negative,@susestudio Hmm - My userid has stopped working 
negative,at work 
negative,@limburger2001 I wish they had this in mens sizes  http://bit.ly/9vgwf
negative,nawI onlysaw guys in cars driving by. Noone just outside 
negative,"Not sure how, but I forgot my phone today.. "
negative,@wjb17 i'm sorry about your grandma  and we need to hang out before school starts cause you'll never see us much once it starts!HEL YEAR:|
negative,Having the hardest time going to sleep! I'm not even tired and it's already 2:30 
negative,I'm so pissed off coz of my internet connection. It's so fucked up 
negative,Feels frail after that out of date Mac&amp;cheese demolitioned his guts 
negative,@colocelt no Charlie Brown dance ??? 
negative,Off to vball camp! Omg! My stomach hurts! 
negative,such nice weather and I have to study 
negative,Poor Air France and all the people on board 
negative,"@gsquintani good news indeed! sure he'll get round to calling at some point, H did her knee (again) on her 1st app for Tring ladies yest "
negative,mum says i cant go to ATL and i cant go to stack at blacktown if i dont find someone  
negative,Watching the Air France events unfold - never a good time to be working in an airline 
negative,@tayuk ha thanks for reminding me about my cardboard lunch 
negative,"Finally, June is here! 13dayys till My 19th Birthday! Can't wait... Testing tomorrow (maybe).  "
negative,Absolutely tragic  Poor souls. http://news.bbc.co.uk/1/hi/world/americas/8076848.stm
negative, sick... And now i dont live at home so nobodys taking care of me  need medicine...
negative,@bogwhoppit babe it was the second one missed a letter off the 1st one 
negative,is leaving norway 
negative,Welcome new followers.  I'll tweet u later. I'm heading for the teapot &amp; 2 watch last nigh's EastEnders. I think it's Danny's funeral. 
negative,Omfg. Apparently I got on the slowest train in the history of the world. Also I don't have an umbrella.  not the best start..
negative,"It's official, I'm sick. I think I have a fever. "
negative,Cleaning stupid gutters with shamus 
negative,has a sick baby 
negative,@SKINTHIWATT I think it is a combination of things. It's not right though. Shouldn't happen. very sad 
negative,@Smeegazzle Been poorly since Australia.  You back at work already?
negative,"i'm doing a lot of exams... haven't got time for nothing  SORRY,"
negative,@ComeOnEILEEN87 sorry my fist punched your head... 
negative,Why oh why am I up so early?  Blah 
negative,@PreppyDude LOL....that made me laugh out loud hee hee 
negative,"Very tired today, up late last night chatting with Owen on the phone. He's leaving in 5 days  gonna miss him"
negative,@MickyFin Air France Press conference said there was a failure of several apparatus 
negative,I feel like i shouldnt watch the new moon trailer until i get a chance to read that book. 
negative,Welcome new followers. I'll tweet u later. I'm heading for the teapot &amp; 2 watch last night's EastEnders. I think it's Danny's funeral. 
negative,@KristinCav did not like the promo introduction headline to your comeback  you should be pissed at MTV!
negative,"Back from my walk.  It's a gorgeous morning, but I wore the wrong shoes.  Gonna have blisters.... "
negative,@jaykurtlaroa you fail  I bet they are sold out again :/
negative,is back from the rain. Game postponed.  http://plurk.com/p/xmw65
negative,"Crazy news -- Air France flight to Rio is missing.... I do hope it's just had issues with its comms, not actually crashed. Scary. "
negative,"is kind of upset her roommate parked on the lawn again, and this means consequently he's parked on my garden "
negative,"@Kiwein I suppose friend of mine, but still she hasn't aswered for my sms "
negative,@greekpeace it was coming from brazil to Paris. 
negative,Wow awesome first day...more magic kingdom today...no oa training this week 
negative,"the worst is coming true i guess, fedx also on his way out of french "
negative,will distract myself with battlestar galactica from all these nasty alonso rumours. don't go xabi 
negative,doesn't feel good at all 
negative,Good golly long night. Couldn't sleep.  on the phone w phone company hate this music Wtf Wtf
negative,i think my account has been blocked............ bumer 
negative,the press pass that Nelson made me (which I never actually used) expires today! 
negative,Just heard the awful news about the Rio-France Air-France flight...praying for the 228 passengers and crew 
negative,Has lost two followers 
negative,8:34 A and they're talking about Twilight; the oldest of the group was blasting the soundtrack in the parking lot when I pulled in! 
negative,blaaahh..this week is going to be busy...jury trials next week and I am gone  so...
negative,can't find my sunglasses  
negative,"Caddis passed away this weekend, just a couple weeks shy of her 15th birthday  http://apps.facebook.com/dogbook/profile/view/5430402"
negative,"@jasonprini i planted seeds just before all that frost. i think my garden is dead.  well, at least my raspberries are alright"
negative,@EviLovesMcFly That's very easy really...but it's so long 'til November 
negative,is loving xna. The official tutorial however is voiced by the most boringly slow guy ever - 7 videos &amp; all he has done is drawn a sprite 
negative,Exams are coming up!  At least it's sunny!! 
negative,im upset that now my holiday is over! 
negative,@hatchduffy It always my fault. I'm not trying to change the pic again for a bit. Maybe get someone else to do it for me. I break things 
negative,Just drove into the wall in my parking garage. Again.   Dumbass.
negative,Hmm the Mac just died on me.. 
negative,revision revision revision 
negative,"my shtick has become so old hat now that @bethanie and @yonderboy don't even acknowledge when I'm being fantastically, disgustingly funny "
negative,how i loose 3 followers  numbers getting smaller everyday
negative,2nd to last dance class 
negative,@lisacall Indeed! We love AD. Very funny &amp; sad it was cancelled. 
negative,confused .... 
negative,"hmmm, now... time to get ready 4 the exams "
negative,Just heard about the missing aircraft.  I ironically made a tweet 7 hours ago about how going oceanic is kind of bad.  
negative,Sugar and spice come back from the trainer today.. no more doggie freedom 
negative,@garywdtea I missed your 8:30 tea!! 
negative,@AriaaJaeger Air France said that flight #447 cannot be still flying now 
negative,@imjustlikeme that's so incredibly sad. 
negative,@zuratulzulkifli cant tests tmw  direct message me here 
negative,I'm starving. Let's go to the canteen and let's hope I find something eatable! No other choice today 
negative,Monday   So sleepy
negative,whhhy do i keep forgetting to charge my ipod.  could have gotten some good scrabble time in 
negative,@CMajor  yes I did. But I'm  away teaching a 2 day  real estate class. I was hoping to make it but that date won't work for me. 
negative,Falling apart again  Fuck whats happening?
negative,bored at work while the sun is just chillin outside 
negative,can't breathe 
negative,was going to be on time for work...but due to the stupid metro will be half hour late...ugggggh that means staying at work later 
negative,isPlayer Has Died! Sorry 
negative,"I really, really hate having to complain.  Today I have had to complain to a painter &amp; now Royal Mail . Getting grumpy &amp; fed up!"
negative,needing someone to talk to  im over this i cant keep feeling like this
negative,my hand hurts a lot this morning. maybe next time i beat someone i should wear protective hand gear. no but seriously its bruised 
negative,Today not good... wake me up tomorrow. 
